borough_join,year,check_in,income,bu,bur,br,kinder,dist,train,unempl,pop_density,greenery,average_b_waw,TERYT,borough,county
baranow,2008,3,0.408650966,0,0,1,0.5,38.61,0,0.019,0.650783117,4,0.008949134,1405032,Baranów,grodziski
baranow,2009,3,0.415669718,0,0,1,0.5,38.61,0,0.033,0.651181311,4,0.013230803,1405032,Baranów,grodziski
baranow,2010,3,0.423385224,0,0,1,20.15316405,38.61,0,0.035,0.658614282,4,0.0096559,1405032,Baranów,grodziski
baranow,2011,0,0.458700774,0,0,1,19.9920032,38.61,0,0.037,0.663923547,4,0.005604118,1405032,Baranów,grodziski
baranow,2012,3,0.468722889,0,0,1,19.82160555,38.61,0,0.05,0.669631006,4,0.006182423,1405032,Baranów,grodziski
baranow,2013,3,0.495511068,0,0,1,19.73164957,38.61,0,0.043,0.672683833,4,0.007599938,1405032,Baranów,grodziski
baranow,2014,3,0.479006887,0,0,1,19.60399922,38.61,0,0.036,0.677063977,4,0.0123141,1405032,Baranów,grodziski
baranow,2015,20,0.484520834,0,0,1,19.25298421,38.61,0,0.031,0.689408017,4,0.008001426,1405032,Baranów,grodziski
baranow,2016,26,0.493989192,0,0,1,19.08396947,38.61,0,0.028,0.695513671,5.45,0.05844377,1405032,Baranów,grodziski
baranow,2017,3,0.519539734,0,0,1,19.02225604,38.61,0,0.023,0.697770109,5.45,0.017456366,1405032,Baranów,grodziski
baranow,2018,21,0.513339185,0,0,1,18.94298163,38.61,0,0.018,0.700690204,5.45,0.025044544,1405032,Baranów,grodziski
baranow,2019,20,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,1405032,Baranów,grodziski
blonie,2008,65,0.833957042,0,1,0,29.74419988,27.23,0,0.02,2.357092779,62.4,0.087623157,1432013,Błonie,warszawski zachodni
blonie,2009,54,0.790978908,0,1,0,34.68437221,27.23,0,0.036,2.358261276,71.8,0.0822822,1432013,Błonie,warszawski zachodni
blonie,2010,96,0.747699364,0,1,0,38.50967556,27.23,0,0.036,2.427436317,117.4,0.083431005,1432013,Błonie,warszawski zachodni
blonie,2011,95,0.75239202,0,1,0,38.25554705,27.23,0,0.048,2.44356158,118.2,0.126050845,1432013,Błonie,warszawski zachodni
blonie,2012,79,0.742032267,0,1,0,42.80618312,27.23,0,0.053,2.456765599,117.2,0.253471404,1432013,Błonie,warszawski zachodni
blonie,2013,100,0.78637111,0,1,0,47.31935835,27.23,0,0.054,2.46938537,116.34,0.231983036,1432013,Błonie,warszawski zachodni
blonie,2014,53,0.776701613,0,1,0,51.84766214,27.23,0,0.044,2.479083898,116.34,0.100827932,1432013,Błonie,warszawski zachodni
blonie,2015,63,0.760110422,0,1,0,42.27138227,27.23,0,0.034,2.487847628,112.99,0.301461935,1432013,Błonie,warszawski zachodni
